Applicability,Service,Reporting period,Category label,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,TikTok,2025-07-01/2025-12-31,Category 12d,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13a,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13b,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 13c,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14,STATEMENT_CATEGORY_VIOLENCE,,6365168,6402511,5282361,,,,,,941787,,,,141020,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14a,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14b,KEYWORD_INCITEMENT_VIOLENCE_HATRED,"Under this category, we consider violations of the following policies: Safety and Civility - Violent and Criminal Behavior.",5099841,5292336,4943867,,,,,,16094,,,,139880,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14c,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14d,KEYWORD_HUMAN_TRAFFICKING,"Under this category, we consider violations of the following policies: Safety and Civility - Human Trafficking and Smuggling.",45131,30535,40723,,,,,,4355,,,,53,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14e,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 14f,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Sensitive and Mature Themes - Shocking and Graphic Content, Violence&Horror&Dangerous activity.",1220196,1079640,297771,,,,,,921338,,,,1087,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 15,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,61418996,54616080,22638119,,,,,,38338482,,,,442395,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 15a,KEYWORD_ADULT_SEXUAL_MATERIAL,"Under this category, we consider violations of the following policies: Sensitive and Mature Themes - Sexual Activity and Services.",1712368,1283113,1572149,,,,,,3089,,,,137130,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 15b,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 15c,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 15d,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 15e,KEYWORD_LANGUAGE_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 15f,KEYWORD_NUDITY,"Under this category, we consider violations of the following policies: Sensitive and Mature Themes - Body Exposure and Sexualized Behaviors.",12014211,10761185,3983736,,,,,,7887953,,,,142522,,,,,,,,,,,,,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 15g,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Regulated Goods, Services, and Commercial Activities - Regulated Goods and Services, Regulated Goods, Services, and Commercial Activities - Commercial Disclosure and Paid Marketing, Ad Format, Adult & Sexual content, Politics&Religion&Culture, Prohibited&Restricted Content, Prohibited&Restricted Industry, Other Systemic Risks.",47692417,42571782,17082234,,,,,,30447440,,,,162743,,,,,,,,,,,,,,,,,,,
