Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,AT,5,5,,2,265,,96,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,BE,3,7,,1,278,,135,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,BG,0,0,,0,41,,176,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,CY,2,5,,171,0,,0,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,CZ,2,2,,246,7,,132,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,DE,133,644,,4,5086,,95,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,DK,30,261,,1,81,,214,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,EE,4,4,,13,7,,789,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,ES,21,1322,,5,926,,141,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,FI,0,0,,0,88,,99,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,FR,239,662,,5,2663,,67,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,GR,0,0,,0,110,,246,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,HR,0,0,,0,25,,150,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,HU,6,6,,14,39,,170,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,IE,5,14,,1,69,,150,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,IT,32,22,,4,410,,217,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,LT,6,38,,1,1,,405,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,LU,0,0,,0,3,,7,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,LV,0,0,,0,2,,1056,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,MT,0,0,,0,20,,321,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,NL,75,273,,0,250,,106,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,PL,2,2,,26,82,,301,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,PT,0,0,,0,24,,172,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,RO,214,1225,,48,168,,99,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,SE,3,3,,11,287,,125,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,SI,0,0,,0,0,,0,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,TOTAL,TOTAL,,SK,0,0,,0,0,,0,"As government authorities are not required to select a specific content type when submitting orders, all tickets received during this period have been classified as ""Type of illegal content not specified by the public authority.",,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,AT,,,,,2,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,BE,,,,,0,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,BG,,,,,0,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,CY,,,,,0,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,CZ,,,,,0,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,DE,,,,,14,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,DK,,,,,0,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,EE,,,,,0,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,ES,,,,,3,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,FI,,,,,0,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,FR,,,,,8,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,GR,,,,,1,,0,,,,,,,
All,TikTok,2025-07-01/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,HR,,,,,0,,0,,,,,,,
